review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Telaga Cinta berlokasi di Atabar, kecamatan Ebungfau, kabupaten Jayapura, Papua. Destinasi wisata ini terletak cukup jauh dari pusat kota Jayapura, mencapai 36 kilometer dengan waktu tempuh selama lebih dari satu jam perjalanan. Sementara dari kota Sentani waktu yang dibutuhkan hampir dua jam lamanya.

Sesampainya di lokasi, rasa lelah selama berkendara menguap begitu saja. Sahabat akan merasakan kesegaran nan alami. Semangat pun kembali membara. Sejauh mata memandang, perbukitan hijau terbentang luas di hadapan. Sangat menyejukkan mata.

Dari atas bukit, Telaga Cinta tampak begitu indah, dikelilingi perbukitan nan hijau. Warna air yang kebiruan berpadu apik dengan warna di sekitarnya. Konon, di atas bukit inilah spot terbaik untuk swa foto. Bahkan tak jarang orang datang hanya untuk melakukan pengambilan gambar prewedding.",telaga cinta berlokasi atabar kecamatan ebungfau kabupaten jayapura papua destinasi wisata terletak pusat kota jayapura mencapai kilometer waktu tempuh jam perjalanan kota sentani waktu dibutuhkan jam sesampainya lokasi lelah berkendara menguap sahabat merasakan kesegaran nan alami semangat membara memandang perbukitan hijau terbentang luas hadapan menyejukkan bukit telaga cinta indah dikelilingi perbukitan nan hijau warna air kebiruan berpadu apik warna konon bukit spot terbaik swa foto jarang pengambilan gambar prewedding,telaga cinta lokasi atabar camat ebungfau kabupaten jayapura papua destinasi wisata letak pusat kota jayapura capai kilometer waktu tempuh jam jalan kota sentani waktu butuh jam sampa lokasi lelah kendara uap sahabat rasa segar nan alami semangat bara pandang bukit hijau bentang luas hadap sejuk bukit telaga cinta indah keliling bukit nan hijau warna air biru padu apik warna konon bukit spot baik swa foto jarang ambil gambar prewedding,Danau Emtofe,Papua
"Indonesia Timur selalu membuatku kagum. Ini danau yang kecil, tapi di tengah padang rumput yang sangat luas. Bersyukur pernah ke sini, dan selalu ingin ke sini lagi. Lokasinya memang jauh dari kota, perlu sewa mobil untuk ke sini. Tapi setelah sampai di sini, semua terbayar dengan keindahannya.",indonesia timur membuatku kagum danau tengah padang rumput luas bersyukur lokasinya kota sewa mobil terbayar keindahannya,indonesia timur buat kagum danau tengah padang rumput luas syukur lokasi kota sewa mobil bayar indah,Danau Emtofe,Papua
Tanah yang hina tetapi memiliki keindahan sendiri,tanah hina memiliki keindahan,tanah hina milik indah,Danau Emtofe,Papua
Perlu kesabaran dan perjuangan hingga sampai ketempat ini,kesabaran perjuangan ketempat,sabar juang tempat,Danau Emtofe,Papua
"Perjalanan yang jauh dan berliku terbayarkan setelah sampai di spot love lake...hamparan rumput hijau, dikelilingi area perbukitan dan hutan, yg ditengah2nya terdapat danau berbentuk elips, yang kalau difoto pada posisi tertentu terlihat seperti bentuk ""Love"".. Bikin selalu ingin kembali ke sini..",perjalanan berliku terbayarkan spot love lake hamparan rumput hijau dikelilingi area perbukitan hutan ditengah danau berbentuk elips difoto posisi bentuk love bikin,jalan liku bayar spot love lake hampar rumput hijau keliling area bukit hutan tengah danau bentuk elips foto posisi bentuk love bikin,Danau Emtofe,Papua
Tempat bagus cuman jalan harus di perbaiki karena masih jalan setapak belum aspal.,bagus cuman jalan perbaiki jalan setapak aspal,bagus cuman jalan baik jalan setapak aspal,Danau Emtofe,Papua
Begitu membantu dan tentunya memuaskan bagi anda yg mau berkunjungbke danau love.... Mampir juga ke chanel youtube gw ... Sahro Sanz,membantu memuaskan berkunjungbke danau love mampir chanel youtube gue sahro sanz,bantu muas berkunjungbke danau love mampir chanel youtube gue sahro sanz,Danau Emtofe,Papua
"Perjalanan sejam dari Abepura, sepanjang jalan disuguhi hamparan permadani berwarna hijau. Begitu pula dgn lokasi Danau Love. Nice place",perjalanan sejam abepura jalan disuguhi hamparan permadani berwarna hijau lokasi danau love nice place,jalan jam abepura jalan suguh hampar permadani warna hijau lokasi danau love nice place,Danau Emtofe,Papua
Semakin mantap,mantap,mantap,Danau Emtofe,Papua
Baguusss panorama alamnya....👍👍👍,bagus panorama alamnya,bagus panorama alam,Danau Emtofe,Papua
bukit teletubies n danau love sentani papua,bukit teletubies danau love sentani papua,bukit teletubies danau love sentani papua,Danau Emtofe,Papua
Tempat yang wajib dikunjungi ketika di Papua. Susana syahdu dan romantis sangat lekat di tempat ini. Terdapat pondok-pondok yang mendukung iuntuk berwisata.,wajib dikunjungi papua susana syahdu romantis lekat pondok pondok mendukung iuntuk berwisata,wajib kunjung papua susana syahdu romantis lekat pondok pondok dukung iuntuk wisata,Danau Emtofe,Papua
Sentani,sentani,sentani,Danau Emtofe,Papua
"Sekarang mau lihat aja bayar, udah gak jadi tempat umum lagi.",bayar umum,bayar umum,Danau Emtofe,Papua
"Salah satu destinasi pariwisata di Jayapura (must visit) ... breathaking view .... green savana, blue sky, crystal clear lake view .... amazing .... bagusss banget panoramanya absolutely amazing ....untuk pass masuknya 50rb per mobil, kopi dan teh 15rb per cup, toilet 5rb",salah destinasi pariwisata jayapura must visit breathaking view green savana blue sky crystal clear lake view amazing bagus banget panoramanya absolutely amazing pas masuknya ribu mobil kopi teh ribu cup toilet ribu,salah destinasi pariwisata jayapura must visit breathaking view green savana blue sky crystal clear lake view amazing bagus banget panorama absolutely amazing pas masuk ribu mobil kopi teh ribu cup toilet ribu,Danau Emtofe,Papua
Wow...tempat yang sangat menajubkan,wow menajubkan,wow menajubkan,Danau Emtofe,Papua
Tempatnya cocok untuk ngebolang sayang gk ada bakul kopi,tempatnya cocok ngebolang sayang bakul kopi,tempat cocok ngebolang sayang bakul kopi,Danau Emtofe,Papua
Smoga bisa kesini,semoga kesini,moga kesini,Danau Emtofe,Papua
Tempat Wisata yg belum tertata. Terkesan primitif dan mahal.,wisata tertata terkesan primitif mahal,wisata tata kes primitif mahal,Danau Emtofe,Papua
Tdk terlalu menarik,menarik,tarik,Danau Emtofe,Papua
Very Nice 👍👍👍,very nice,very nice,Danau Emtofe,Papua
Saya salahsatu penguasa atas danau love.areal tsb milik bersama.,salahsatu penguasa danau love areal milik,salahsatu kuasa danau love areal milik,Danau Emtofe,Papua
"Danau yang emejing, meskipun sangat jauhh ditengah savana, tetapi pemandangan alamnya luar biasa indahnya seperti di negri teletubies 😘😘",danau emejing ditengah savana pemandangan alamnya indahnya negeri teletubies,danau emejing tengah savana pandang alam indah negeri teletubies,Danau Emtofe,Papua
"Danau yang keren, memang jauh dari mana-mana tapi justru itu yang bikin danau ini tambah keren. suasana sepi sangat pas untuk pasangan.",danau keren bikin danau keren suasana sepi pas pasangan,danau keren bikin danau keren suasana sepi pas pasang,Danau Emtofe,Papua
"Papua surga  kecil yg  jatu ke bumi.
Ini dari papua barat gunung  botak.ransiki.",papua surga jatu bumi papua barat gunung botak ransiki,papua surga jatu bumi papua barat gunung botak ransiki,Danau Emtofe,Papua
Untuk menuju tmpt ini memang melelahkn....namun pemndangnnya tidak mengecewakan.....,melelahkn pemndangnnya mengecewakan,melelahkn pemndangnnya kecewa,Danau Emtofe,Papua
Cocok Bwt foto Preweed di danau Love. danau Love dekat danau Sentani merupakan salah satu keindahan Alam Indonesia di Jayapura.,cocok foto preweed danau love danau love danau sentani salah keindahan alam indonesia jayapura,cocok foto preweed danau love danau love danau sentani salah indah alam indonesia jayapura,Danau Emtofe,Papua
"Karna surga kecil yang jatuh ke bumi
Adalah Papua",surga jatuh bumi papua,surga jatuh bumi papua,Danau Emtofe,Papua
Alam yg indah,alam indah,alam indah,Danau Emtofe,Papua
Very nice place,very nice place,very nice place,Danau Emtofe,Papua
"Karena danau love sangat indah, pemandangannya yang bagus dan udarax sangat segar.",danau love indah pemandangannya bagus udarax segar,danau love indah pandang bagus udarax segar,Danau Emtofe,Papua
Bersama teman-teman dari Anker Dance School membuat sejarah di tanah Papua dengan menjadi yang pertama membuat Video 360 tari humbelo di Danau Love atau di sebut juga Telaga Enfote Kampung Putali. Perjalanan dari Abepura menuju danau love memakan waktu sekitar satu jam perjalanan,teman teman anker dance school sejarah tanah papua video tari humbelo danau love telaga enfote kampung putali perjalanan abepura danau love memakan waktu jam perjalanan,teman teman anker dance school sejarah tanah papua video tari humbelo danau love telaga enfote kampung putali jalan abepura danau love makan waktu jam jalan,Danau Emtofe,Papua
Sangat indah dan wajib dikunjungi. Namun sangat disayangkan ketika akan masuk ke objek wisata. Ada beberapa warga lokal secara tidak resmi meminta uang sebesar 50rb kepada kami. Ini menjadi membuat kami malas berkunjung kembali.,indah wajib dikunjungi disayangkan objek wisata warga lokal resmi uang ribu malas berkunjung,indah wajib kunjung sayang objek wisata warga lokal resmi uang ribu malas kunjung,Danau Emtofe,Papua
Pemandangan nya indah,pemandangan indah,pandang indah,Danau Emtofe,Papua
"jalannya jauh, tidak terbayar dengan panorama alamnya",jalannya terbayar panorama alamnya,jalan bayar panorama alam,Danau Emtofe,Papua
Perjalanan Jauh namun sepadan.,perjalanan sepadan,jalan padan,Danau Emtofe,Papua
"tempat wisata yg indah, namun tidak ada kios, jalan kurang baik, dan tempat kurang bersih",wisata indah kios jalan bersih,wisata indah kios jalan bersih,Danau Emtofe,Papua
"jalan ke sini seakan tak berujung..2jam dari entrop jika pake mobil.

so far ok, jalan alus, pemandangan sepanjang perjalanan bagus.. cocok buat jalan2 santai",jalan seakan berujung jam entrop pakai mobil sok far ok jalan alus pemandangan perjalanan bagus cocok jalan santai,jalan akan ujung jam entrop pakai mobil sok far ok jalan alus pandang jalan bagus cocok jalan santai,Danau Emtofe,Papua
Love this place,love this place,love this place,Danau Emtofe,Papua
"Awal 2014 saya ke tmpat ini tempatnya lbih bersih dan masih klihan hijau skali,tidak seperti skrank ini ada tangan2 yg tidak bertanggung jawab mulai dari samah plastik dan lain lain..saya dan rkan tman saya asli putra daerah berkunjung ksini thun 2014 itu masih mlewati rute jalan yg extreem loh,jalan nya msih berlumpur dan tanjakan yg berbatu krikil lbih mnangtang dan menjadi pglaman trsendiri..sukurlah skrank ini sdah bnyak pengunjung yg mendatingi tmpat ini hingga pemerintah stmpat mulai peduli trhadap tmpt wisata ini..jalan yg sdah bagus akan membuat pgunjung lebih nyaman lagi..yg trpenting itu tanggung jwab masing2 dari pgunjung yg yg sadar akan kebersihannya. Ok",tmpat tempatnya bersih klihan hijau skrank tangan bertanggung samah plastik rkan teman asli putra daerah berkunjung kesini tahun mlewati rute jalan extreem jalan berlumpur tanjakan berbatu krikil mnangtang pglaman trsendiri sukurlah skrank pengunjung mendatingi tmpat pemerintah stmpat peduli trhadap wisata jalan bagus pgunjung nyaman trpenting tanggung pgunjung sadar kebersihannya ok,tmpat tempat bersih klihan hijau skrank tangan tanggung samah plastik rkan teman asli putra daerah kunjung kesini tahun mlewati rute jalan extreem jalan lumpur tanjak batu krikil mnangtang pglaman trsendiri sukurlah skrank unjung mendatingi tmpat perintah stmpat peduli trhadap wisata jalan bagus pgunjung nyaman trpenting tanggung pgunjung sadar bersih ok,Danau Emtofe,Papua
"View nya bagus, seperti dirumah Teletubies. 45 menit dari bandara Sentani. Sepanjang perjalanan bisa menikmati pemandangan sekeliling danau Sentani",view bagus dirumah teletubies menit bandara sentani perjalanan menikmati pemandangan sekeliling danau sentani,view bagus rumah teletubies menit bandara sentani jalan nikmat pandang keliling danau sentani,Danau Emtofe,Papua
"Pemandangan bagus.. jarak tempuh cukup jauh 50menit untuk mobil.. bagi yang belum pernah kesini harap berhati2 area jalan kendaraan kecil untuk 2 mobil 2 arah, jalan dekat dengan jurang bukit..",pemandangan bagus jarak tempuh menit mobil kesini harap berhati area jalan kendaraan mobil arah jalan jurang bukit,pandang bagus jarak tempuh menit mobil kesini harap hati area jalan kendara mobil arah jalan jurang bukit,Danau Emtofe,Papua
Lebih tepatnya bentuknya seperti hurup,tepatnya bentuknya hurup,tepat bentuk hurup,Danau Emtofe,Papua
Mantaf,mantaf,mantaf,Danau Emtofe,Papua
"Keren ap,,, tpi msuk byar ya,,,, dan coba desediakan tenda kecil gtu kh",keren byar coba desediakan tenda,keren byar coba desediakan tenda,Danau Emtofe,Papua
"Lumayan lh,tapi banyak buaya",lumayan buaya,lumayan buaya,Danau Emtofe,Papua
"Keren, nggk nyesel dateng kesini. 😊",keren menyesal kesini,keren sesal kesini,Danau Emtofe,Papua
Disana adalah tempat yang indah,disana indah,sana indah,Danau Emtofe,Papua
