review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Tempatnya bagus, banyak spot foto, banyak tempat untuk bersantai, ada pesawatan, dll. Mungkin yg jadi pertimbangan banyak orang yaitu harga tiketnya. Saya sabtu kemarin kesini 20rb, struknya bisa ditukar minuman free (saya dapat teh es), kalo soal makan disana saya belum pernah karena ngiranya disana ada jual  ketupat kandangan wkwk.",tempatnya bagus spot foto bersantai pesawatan dll pertimbangan harga tiketnya sabtu kemarin kesini ribu struknya ditukar minuman free teh es kalo makan disana ngiranya disana jual ketupat kandangan wkwk,tempat bagus spot foto santa pesawat dll timbang harga tiket sabtu kemarin kesini ribu struknya tukar minum free teh es kalo makan sana ngiranya sana jual ketupat kandang wkwk,Kampung Ketupat,Kalimantan Selatan
Tempat baru sepertinya datang saat malam toko makanannya sdh byk yg tutup.,malam toko makanannya tutup,malam toko makan tutup,Kampung Ketupat,Kalimantan Selatan
Masih banyak yang belum termanfaatkan view ny...mungkin kl malam lebih asik..,termanfaatkan view malam asik,manfaat view malam asik,Kampung Ketupat,Kalimantan Selatan
"Bersih, instgramable, banyak makanan, sejuk,",bersih instgramable makanan sejuk,bersih instgramable makan sejuk,Kampung Ketupat,Kalimantan Selatan
"Masuk bayar 20rb-25rb mahal banget, gak mau sih saya karna dari luar terlihat biasa aja, masuk aja bayar nya mahal belum lagi beli makanan didalam, orang orang bakalan mikir 2x sih kalau kesini",bayar ribu ribu mahal banget bayar mahal beli makanan didalam mikir kesini,bayar ribu ribu mahal banget bayar mahal beli makan dalam mikir kesini,Kampung Ketupat,Kalimantan Selatan
"Kalau boleh kasih saran, harga hari kerja atau hari libur 5k an hja insya allah rami tu, jadi org kwa jajan di tempat tanpa kepikiran harga masuk yg agak mahal, amun bnyk pengunjungnya jdi lakas ja mutar duitnya🤗 dan untuk harga makannya sedang hja sih",kasih saran harga libur kak an hja insya allah rami kwa jajan kepikiran harga mahal amun pengunjungnya lakas mutar duitnya harga makannya hja,kasih saran harga libur kak an hja insya allah rami kwa jajan pikir harga mahal amun unjung lakas mutar duit harga makan hja,Kampung Ketupat,Kalimantan Selatan
"Untuk tempatnya cukup bagus dan asri jika ingin mendapatkan nuansa yg cukup tenang di wilayah perkotaan, banyak spot"" foto yg bagus, tapi sayangnya untuk tiket masuk dengan Harga 20k/orang cukup mahal.",tempatnya bagus asri nuansa tenang wilayah perkotaan spot foto bagus sayangnya tiket harga kak mahal,tempat bagus asri nuansa tenang wilayah kota spot foto bagus sayang tiket harga kak mahal,Kampung Ketupat,Kalimantan Selatan
"Tempatnya bagus, semoga makin dikembangkan lagi. Dan semoga tiket masuknya bisa lebih murah lagi.",tempatnya bagus semoga dikembangkan semoga tiket masuknya murah,tempat bagus moga kembang moga tiket masuk murah,Kampung Ketupat,Kalimantan Selatan
Tiketnya terhitung mahal,tiketnya terhitung mahal,tiket hitung mahal,Kampung Ketupat,Kalimantan Selatan
"Agak kaget aja ketika masuk sama keluarga bayar Rp 86.000 be4.
Saya rasa pasti banyak yg jera dan tidak datang lagi.",kaget keluarga bayar rp be jera,kaget keluarga bayar rp be jera,Kampung Ketupat,Kalimantan Selatan
Sepi,sepi,sepi,Kampung Ketupat,Kalimantan Selatan
tempat nya enak sejuk adem dan lingkungan nya bersih dan desain bangunan nya sangat bagus,sejuk adem lingkungan bersih desain bangunan bagus,sejuk adem lingkung bersih desain bangun bagus,Kampung Ketupat,Kalimantan Selatan
Tempatnya instagramable dan makanannya enak  murahhh...,tempatnya instagramable makanannya murah,tempat instagramable makan murah,Kampung Ketupat,Kalimantan Selatan
"Sebagai tempat wisata baru sudah cukup bagus, untuk sarannya agar tempat duduknya saja yang hanya perlu di tambah",wisata bagus sarannya duduknya,wisata bagus saran duduk,Kampung Ketupat,Kalimantan Selatan
"Mudahan awet, biayanya dinaikana lagi kalo bisa wkwk
biar gak kayak tempat2 lainnya yg rame nya cuma diawal, mungkin karena murah bahkan gratis kali ya",mudahan awet biayanya dinaikana kalo wkwk biar kayak rame diawal murah gratis,mudah awet biaya dinaikana kalo wkwk biar kayak rame awal murah gratis,Kampung Ketupat,Kalimantan Selatan
Harga tiket agak mahal,harga tiket mahal,harga tiket mahal,Kampung Ketupat,Kalimantan Selatan
