review,review_text,rating,author,date,nama desa wisata
3 4 mei 2024 kami ada event di sini untuk penginapannya kamarnya bersih dan nyaman untuk pelayanan baik seru banget buat acara makrab kampus atau karya wisata ada sesi susur sungai dan ice breaking satu hal yang sesikit minus di taste rasa makanan sayuran yg disugukan adalah sayur khas desa banget dan aku paling suka makanan khas pedesaan dan ekspektasi saya rasanya bakalan enak banget seperti sayur lodeh maupun sayur daun singkong namun 3 kali makan rasa sayurannya hambar banget jadi kedepan untuk bagian konsumsi memperbaiki rasa sayurannya supaya seimbang antara fasilitas dan juga penyajian makanannya,"3-4 mei 2024 kami ada event di sini, untuk penginapannya kamarnya bersih dan nyaman. Untuk pelayanan baik,seru banget buat acara makrab kampus atau karya wisata, ada sesi susur sungai dan ice breaking. Satu hal yang sesikit minus di taste/rasa makanan. Sayuran yg disugukan adalah sayur khas desa banget dan aku paling suka makanan khas pedesaan, dan ekspektasi saya rasanya bakalan enak banget seperti sayur lodeh maupun sayur daun singkong. Namun 3 kali makan, rasa sayurannya hambar banget, jadi kedepan untuk bagian konsumsi memperbaiki rasa sayurannya, supaya  seimbang antara fasilitas dan juga penyajian makanannya",5,rindi astika yuliana,2024-05-12T20:22:49.572Z,Pulesari
desa wisata yang sangat asri bersih dan indah dengan udara yang sejuk di lereng gunung merapi menyajikan wisata alam nuansa pedesaan di kelilingi perkebunan salak pondok dan berbagai wahana permainan dan pendidikan,"Desa wisata yang sangat asri bersih dan indah, dengan udara yang sejuk di lereng gunung merapi menyajikan wisata alam nuansa pedesaan di kelilingi perkebunan salak pondok dan berbagai wahana permainan dan pendidikan.",5,Vika naura Isnaini,2024-05-10T07:54:31.191Z,Pulesari
desa wisata banyak pohon salaknya tempatnya luas sejuk nyaman banyak wahana untuk outbound tracking sungai dll ada pemandunya juga kebersihannya terjaga seruu deh pokoknya,"Desa Wisata, banyak pohon salaknya, tempatnya luas,sejuk, nyaman, banyak wahana untuk outbound,tracking sungai dll,ada pemandunya juga,  kebersihannya terjaga, seruu deh pokoknya.",5,Dwiki Aprilianto,2024-05-07T17:18:19.546Z,Pulesari
sangat menyenangkan saya kesana dalam rangka jalan2 karyawan disana melakukan kegiatan outbond dan lain lain,"Sangat menyenangkan, saya kesana dalam rangka jalan2 karyawan. Disana melakukan kegiatan outbond dan lain lain.",5,Ronal Dallas,2024-03-13T09:30:07.427Z,Pulesari
outbond disini seru dan bisa refresh,Outbond disini seru dan bisa refresh,4,Istiqomah Nugroho,2024-03-10T12:05:54.819Z,Pulesari
desa yg bersih dgn pemandangan kebun salak lahan parkir jika person ingin berjalan2 warung makan sepertinya tidak ada,"Desa yg bersih dgn pemandangan kebun salak.
Lahan parkir jika person ingin berjalan2 & warung makan sepertinya tidak ada.",4,happy day,2024-03-01T23:25:29.991Z,Pulesari
terlalu pelosok dan serem kalau jalan malam,Terlalu pelosok dan serem kalau jalan malam,2,Faridz Raya,2024-02-16T06:55:55.120Z,Pulesari
tempat untuk rekreasi sambil beredukasi dan menyatu dengan alam,tempat untuk rekreasi sambil beredukasi dan menyatu dengan alam,5,Mahasti adityasari,2024-02-12T03:29:51.156Z,Pulesari
sangat menyenangkan diawali dengan tim dari pokdarwis yang sangat lucu mengawali dengan ice breaking yang bikin terbahak bahak bahagia tempat outbond yang asyik berbagai macam permainan yang menantang dilanjutkan susur sungai dengan suasana alam yg adem dan menyejukkan dengan aliran sungai yang segar di tengah perkebunan salak benar benar refresing,"Sangat menyenangkan.. Diawali dengan tim dari Pokdarwis yang sangat lucu, mengawali dengan ice breaking yang bikin terbahak-bahak bahagia.. Tempat outbond yang asyik, berbagai macam  permainan yang menantang, dilanjutkan susur sungai dengan suasana alam yg adem dan menyejukkan dengan aliran sungai yang segar di tengah perkebunan salak. Benar-benar refresing.",5,Rosa Fitriana,2024-02-03T15:05:22.877Z,Pulesari
tempat untuk outbound yg bagusss tempatnya asri airnya jernih mantapppp,"Tempat untuk outbound yg bagusss, tempatnya asri, airnya jernih. Mantapppp",5,AYUNDHA NURHAYATI,2024-02-02T00:53:30.320Z,Pulesari
tempatnya asri serta kebersihannya terjaga alami air sungainya pun dari sumber jd masih jernih wahana outbound susur sungainya mantab seru dan aman pokoknya,Tempatnya asri serta kebersihannya terjaga alami. Air sungainya pun dari sumber jd masih jernih. Wahana outbound susur sungainya mantab. Seru dan aman pokoknya.,5,Nikolas Caristra,2024-01-29T08:36:52.124Z,Pulesari
tempat yg asik buat keluarga dan rombongan out bound,"Tempat yg asik buat keluarga dan rombongan, out bound",5,Medi Ipung Chanel,2024-01-26T12:54:07.811Z,Pulesari
parah parah saran saya kalau mau main air susur sungai silahkan kesini not badlah tapi masih lebih bagus di plo ku ng tapi kalau mau outbond kekompakan tim jangan disini belum mumpuni untuk timnya kecuali anda bawa tim trainer outbond sendiri dari awal sepertinya sudah membuat esmosi kontak person tidak responsif kami rombongan datang ber 200 orang juga didiamkan saja ibaratnya tamu mestinya tuan rumah juga ada iki jian tenanan suwung sampe ahirnya dateng yg katanya trainer 1 orang duduk ngliatin doang wkkk trus dateng lagi 1 org dan crew magang trainer yg datang pertama langsung pergi trainer 1 dan crew nya ngisi ice breaking tok mungkin kurang mumpuni kalo untuk outbond kekompakan tim intine ra gercep kurang servisny selesai pun kami yang menghandle sendiri semoga bisa berbenah lagi utk tim dewipule,"Parah.. Parah...
Saran saya, kalau mau main air susur sungai silahkan kesini not badlah, tapi masih lebih bagus di Plo**Ku**ng
Tapi kalau mau outbond kekompakan tim jangan disini..belum mumpuni untuk timnya, kecuali anda bawa tim trainer outbond sendiri.

dari awal sepertinya sudah membuat esmosi... Kontak person tidak responsif,
kami rombongan datang ber 200 orang juga didiamkan saja..ibaratnya tamu mestinya tuan rumah juga ada.. Iki jian tenanan suwung.
Sampe ahirnya dateng (yg katanya trainer) 1 orang.. Duduk ngliatin doang Wkkk
Trus dateng lagi 1 org dan crew magang .. Trainer yg datang pertama langsung pergi..
Trainer 1 dan crew nya ngisi ice breaking  tok, mungkin kurang mumpuni kalo untuk outbond kekompakan tim..
Intine ra gercep. Kurang servisny.
Selesai pun kami yang menghandle sendiri..Semoga bisa berbenah lagi utk tim dewipule.",1,Teti Nurjanah,2024-01-17T22:07:34.183Z,Pulesari
sering kami pakai untuk outbond ya lumayan asik tempatnya yang penting tetap dirawat diremajakan dan terus diberdayakan untuk selalu jd lokasi outbond yang keren,"Sering kami pakai untuk outbond. Ya lumayan asik tempatnya. Yang penting tetap dirawat, diremajakan, dan terus diberdayakan untuk selalu jd lokasi outbond yang keren.",5,Bee Dabelyu,2024-01-17T09:51:26.734Z,Pulesari
permainan menarik cuma kamar mandi kurang bersih admin tolong d steril kan lagi kamar mandi nya,"Permainan menarik, cuma kamar mandi kurang bersih... admin tolong d steril kan lagi kamar mandi nya..",4,Mudah Kalak,2024-01-16T10:12:55.927Z,Pulesari
tempat outbond yang seru,Tempat outbond yang seru,5,Erika,2024-01-01T11:31:52.788Z,Pulesari
desa wisata di wilayah sleman yogyakarta yg dukelola dg sangat baik dan teroadu bisa untuk arena outbond yg menyenangkan dg menyusuri sungai kecil dg jln kaki cocok utk tua muda dan anak2 ken treckibg aman sebaiknya reservasi utk ketersediaan tempat,"Desa wisata di wilayah Sleman Yogyakarta yg dukelola dg sangat baik dan teroadu.
Bisa untuk arena outbond yg menyenangkan , dg menyusuri sungai kecil dg jln kaki. Cocok utk tua, muda dan anak2 ken treckibg aman.
Sebaiknya reservasi utk ketersediaan tempat.",5,Rina,2023-12-30T13:09:22.392Z,Pulesari
yang mau outbond paket komplit desa wisata pulesari pilihannya sangat rekomendasi banget dengan paket yang murah pelayanan yang maksimal,"Yang mau outbond paket komplit, Desa Wisata Pulesari pilihannya. Sangat rekomendasi banget, dengan paket yang murah pelayanan yang maksimal.",5,Hotel Reservasi 9 Kota,2023-12-28T07:55:33.330Z,Pulesari
harga dibanding dengan desa wisata sekitar paling tinggi tapi tidak juga lebih baik terutama dipelayanan dan sikap beberapa pengelolaan ketika pelayanan dilapangan karena pelayanan itu utama jadi harus diutamakan karena pasar itu selalu berubah dan berkembang saya kasih bintang 1 dulu biar untuk evaluasi dan membuat pelayanan lebih baik dari segi apapun,"Harga dibanding dengan desa wisata sekitar paling tinggi tapi tidak juga lebih baik, terutama dipelayanan dan sikap beberapa pengelolaan ketika pelayanan dilapangan,

Karena pelayanan itu utama ,, jadi harus diutamakan karena Pasar itu selalu berubah dan berkembang,,, saya kasih bintang 1 dulu biar untuk evaluasi dan membuat pelayanan lebih baik dari segi apapun ,,",1,fajar purnomo,2023-12-21T22:53:11.857Z,Pulesari
sumber daya alam super oke namun sumber daya manusianya super amat sangat kurang tatacara baik dlm hal kompromi dan pelayanan jasa usaha cukup sekian dan tidak lagi lagi,"sumber daya alam super oke namun sumber daya manusianya super amat sangat kurang tatacara, baik dlm hal kompromi dan pelayanan jasa usaha. Cukup sekian dan tidak lagi-lagi 👌🙃",1,Vitria Tito,2023-12-21T14:37:17.206Z,Pulesari
dewi pulesari di daerah turi tempatnya luas banyak wahana untuk outbound ada pemandu wisatanya juga fasilitasnya ada tracking sungai jembatan goyang wisata kebun dan lain lainnya staff ramah cocok untuk digunakan outing class kantor ataupun acara lainnya harga ada yg paketan dengan fasilitas yg tersedia,"DeWi Pulesari di daerah Turi, tempatnya luas, banyak wahana untuk outbound, ada pemandu wisatanya juga. Fasilitasnya ada tracking sungai, jembatan goyang, wisata kebun dan lain-lainnya. Staff ramah. Cocok untuk digunakan outing class, kantor ataupun acara lainnya. Harga ada yg paketan dengan fasilitas yg tersedia.",4,Isna,2023-12-21T10:22:32.259Z,Pulesari
desa wisata daerah turi sleman cocok utk outbond juga,"Desa wisata daerah Turi, Sleman, cocok utk outbond juga",5,Istiyanto Dirdjo,2023-12-21T04:10:16.999Z,Pulesari
