review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Bagus. Mantap,bagus mantap,bagus mantap,Pulau Kumayan Kota,Bengkulu
salah satu destinasi wisata baru dan layak dikunjungi saat ke bengkulu,salah destinasi wisata layak dikunjungi bengkulu,salah destinasi wisata layak kunjung bengkulu,Pulau Kumayan Kota,Bengkulu
Good,good,good,Pulau Kumayan Kota,Bengkulu
"Lokasi asri, rindang, buat piknik enak karena banyak pondokan dan pepohonan. Yang hobi mancing juga seru disini karena banyak ikan. Tapi yang jual makanan sedikit, jadi lebih enak kalau bawa bekal..

Tiket masuk per orang 5k, parkir motor 2k. Kalau mau mancing di kolam khusus bayar 20k. Kalau mancing di rawa² kayak nya gratis.

Ada toilet juga, bayar 2k.",lokasi asri rindang piknik pondokan pepohonan hobi mancing seru ikan jual makanan bawa bekal tiket kak parkir motor kak mancing kolam bayar kak mancing rawa kayak gratis toilet bayar kak,lokasi asri rindang piknik pondok pohon hobi mancing seru ikan jual makan bawa bekal tiket kak parkir motor kak mancing kolam bayar kak mancing rawa kayak gratis toilet bayar kak,Pulau Kumayan Kota,Bengkulu
"Parkiran luas, teduh, nyaman buat istirahat
, makn bersama keluarga",parkiran luas teduh nyaman istirahat makn keluarga,parkir luas teduh nyaman istirahat makn keluarga,Pulau Kumayan Kota,Bengkulu
Tempat asri dan nyaman banyak pohon bakau,asri nyaman pohon bakau,asri nyaman pohon bakau,Pulau Kumayan Kota,Bengkulu
"Masih blum rapih saat ini, semoga ada peningkatan lebih baik, agar bnyk pengunjung yg datang",rapi semoga peningkatan pengunjung,rapi moga tingkat unjung,Pulau Kumayan Kota,Bengkulu
"Tempatnya asri.udaranya sejuk. Ada lahan parkir.ada tempat makan.
Rumah pohon,jembatan ditengah rawa bakau.",tempatnya asri udaranya sejuk lahan parkir makan rumah pohon jembatan ditengah rawa bakau,tempat asri udara sejuk lahan parkir makan rumah pohon jembatan tengah rawa bakau,Pulau Kumayan Kota,Bengkulu
Cukup bagus,bagus,bagus,Pulau Kumayan Kota,Bengkulu
Mantap,mantap,mantap,Pulau Kumayan Kota,Bengkulu
Sejuk,sejuk,sejuk,Pulau Kumayan Kota,Bengkulu
Tempat yang nyaman untuk menikmati hutan mangrove bersama keluarga dan teman,nyaman menikmati hutan mangrove keluarga teman,nyaman nikmat hutan mangrove keluarga teman,Pulau Kumayan Kota,Bengkulu
Untuk rekreasi keluarga cukup bagus dengan alam yg asri.,rekreasi keluarga bagus alam asri,rekreasi keluarga bagus alam asri,Pulau Kumayan Kota,Bengkulu
Mantappp....,mantap,mantap,Pulau Kumayan Kota,Bengkulu
"Cocok buat wisata keluarga menjelang sore, dikarenakan panas pas siang.
Akses jalan mudah.

Overall udh bagus semua, cuma tangga buat spot foto terlalu miring, WC/toilet terlalu jauh.

Mungkin bisa dibikin untuk malam, dikasih lampu, jadi cocok buat spot foto malam",cocok wisata keluarga menjelang sore panas pas siang akses jalan mudah overall bagus tangga spot foto miring wc toilet dibikin malam dikasih lampu cocok spot foto malam,cocok wisata keluarga jelang sore panas pas siang akses jalan mudah overall bagus tangga spot foto miring wc toilet bikin malam kasih lampu cocok spot foto malam,Pulau Kumayan Kota,Bengkulu
"Bagus lokasinya ,MOHON KEBERSIHANNYA DI JAGA,JGN BUANG SAMPAH DI SUNGAI/ DI MUARA,AGAR CAGAR ALAM  TERJAGA..kelestarian.",bagus lokasinya kebersihannya jaga buang sampah sungai muara cagar alam terjaga kelestarian,bagus lokasi bersih jaga buang sampah sungai muara cagar alam jaga lestari,Pulau Kumayan Kota,Bengkulu
"Suasana menyenangkan, tenang dan cukup bagus buat family",suasana menyenangkan tenang bagus family,suasana senang tenang bagus family,Pulau Kumayan Kota,Bengkulu
"Wisata baru di dekat kota Bengkulu, sangat keren dan indah",wisata kota bengkulu keren indah,wisata kota bengkulu keren indah,Pulau Kumayan Kota,Bengkulu
